日時,ステータス,経過秒数
2026-04-09 05:00:00,電源断,12620
2026-04-09 08:30:20,段取り,2630
2026-04-09 09:14:10,アラーム,20
2026-04-09 09:14:30,段取り,100
2026-04-09 09:16:10,アラーム,10
2026-04-09 09:16:20,段取り,2380
2026-04-09 09:56:00,アラーム,610
2026-04-09 10:06:10,段取り,5700
2026-04-09 11:41:10,自動停止,70
2026-04-09 11:42:20,段取り,180
2026-04-09 11:45:20,自動停止,80
2026-04-09 11:46:40,段取り,30
2026-04-09 11:47:10,アラーム,100
2026-04-09 11:48:50,段取り,60
2026-04-09 11:49:50,自動停止,110
2026-04-09 11:51:40,自動起動,30
2026-04-09 11:52:10,自動停止,10
2026-04-09 11:52:20,自動起動,20
2026-04-09 11:52:40,自動停止,60
2026-04-09 11:53:40,自動起動,50
2026-04-09 11:54:30,自動停止,30
2026-04-09 11:55:00,自動起動,30
2026-04-09 11:55:30,自動停止,10
2026-04-09 11:55:40,自動起動,310
2026-04-09 12:00:50,自動停止,50
2026-04-09 12:01:40,自動起動,130
2026-04-09 12:03:50,自動停止,3090
2026-04-09 12:55:20,自動起動,440
2026-04-09 13:02:40,自動停止,170
2026-04-09 13:05:30,自動起動,50
2026-04-09 13:06:20,自動停止,20
2026-04-09 13:06:40,自動起動,60
2026-04-09 13:07:40,自動停止,20
2026-04-09 13:08:00,段取り,10
2026-04-09 13:08:10,自動起動,40
2026-04-09 13:08:50,自動停止,10
2026-04-09 13:09:00,自動起動,80
2026-04-09 13:10:20,自動停止,10
2026-04-09 13:10:30,段取り,10
2026-04-09 13:10:40,自動停止,10
2026-04-09 13:10:50,自動起動,60
2026-04-09 13:11:50,自動停止,20
2026-04-09 13:12:10,自動起動,70
2026-04-09 13:13:20,自動停止,150
2026-04-09 13:15:50,自動起動,30
2026-04-09 13:16:20,自動停止,10
2026-04-09 13:16:30,段取り,30
2026-04-09 13:17:00,自動起動,60
2026-04-09 13:18:00,自動停止,10
2026-04-09 13:18:10,自動起動,30
2026-04-09 13:18:40,自動停止,40
2026-04-09 13:19:20,自動起動,40
2026-04-09 13:20:00,段取り,40
2026-04-09 13:20:40,自動停止,20
2026-04-09 13:21:00,自動起動,250
2026-04-09 13:25:10,自動停止,40
2026-04-09 13:25:50,自動起動,60
2026-04-09 13:26:50,自動停止,40
2026-04-09 13:27:30,自動起動,50
2026-04-09 13:28:20,自動停止,180
2026-04-09 13:31:20,自動起動,15480
2026-04-09 17:49:20,自動停止,630
2026-04-09 17:59:50,段取り,20
2026-04-09 18:00:10,アラーム,10
2026-04-09 18:00:20,段取り,20
2026-04-09 18:00:40,電源断,39560
